,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,
"Table Title: Average Retail Prices Of Selected Consumer Items, Annual",,,,,,,,,,,,,
,,,,,,,,,,,,,
Data last updated: 23/02/2023,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Dollar
Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 
Premium Thai Rice (Per 5 Kilogram),13.16,13.38,13.75,13.42,13.06,13.01,13.13,13.07,13.07,12.78,12.67,12.45,12.43
Ordinary White Bread (Per 400 Gram),1.87,1.75,1.74,1.73,1.68,1.63,1.62,1.6,1.57,1.49,1.46,1.45,1.4
Vitamin Enriched Bread (Per 400 Gram),1.79,1.66,1.63,1.65,1.83,1.8,1.88,1.88,1.88,1.68,1.6,1.6,1.63
Wholemeal Bread (Per 400 Gram),2.19,2.1,2.1,2.07,2.03,2.04,2.04,2.04,2.04,na,na,na,na
Instant Noodles (Per 5 Packets),2.59,2.37,2.3,2.24,2.27,2.26,2.26,2.19,2.21,2.23,2.23,2.23,2.16
"Lean Pork, Chilled (Per Kilogram)",15.95,15.31,15.32,13.97,13.73,13.7,13.81,13.32,13.21,13.14,13.07,12.75,12.66
"Streaky Pork, Chilled (Per Kilogram)",18.58,17.32,17.19,15.67,15.78,15.73,15.76,15.04,14.88,14.67,14.4,13.91,13.62
"Pork Rib Bones, Chilled (Per Kilogram)",19.34,18.03,18.51,16.91,17.31,17.33,17.2,16.72,16.44,16.4,16.48,16.13,15.84
"Beef, Chilled (Per Kilogram)",28.64,28.74,25.18,24.91,24.89,24.24,23.86,23.27,22.65,na,na,na,na
"Mutton, Chilled (Per Kilogram)",25.4,22.17,22.03,19.9,18.53,18.27,18.27,18.15,17.79,17.89,17.79,17.6,15.12
"Whole Chicken, Chilled (Per Kilogram)",7.94,6.34,6.32,6.36,6.44,6.58,6.35,6.11,6.14,5.96,5.87,5.82,5.54
"Chicken Wing, Chilled (Per Kilogram)",10.5,8.27,8.43,8.4,8.05,8.03,8.04,7.89,7.87,na,na,na,na
"Duck, Chilled (Per Kilogram)",8.03,7.09,7.17,7.04,7.38,7.33,7.09,6.95,6.83,6.87,6.75,6.78,6.59
"Lean Pork, Frozen (Per 500 Gram)",4.91,4.83,4.9,4.33,4.35,4.36,4.23,4.32,4.37,na,na,na,na
"Pork Rib Bones, Frozen (Per 500 Gram)",6.08,6.09,5.88,4.55,4.89,5,4.78,4.97,5.12,na,na,na,na
"Beef Cube, Frozen (Per 500 Gram)",6.36,6.32,6.34,6.09,6.2,6.4,6.25,6.22,6.1,na,na,na,na
"Whole Chicken, Frozen (Each)",4.32,3.27,3.91,3.53,3.45,3.52,3.81,4.29,4.5,na,na,na,na
"Chicken Wing, Frozen (Per 2 Kilogram)",9.21,8.91,9.41,9.25,9.93,9.88,10.19,10.2,9.87,na,na,na,na
Cod Fish (Per Kilogram),66.03,63.47,65.63,66.06,65.39,65.05,59.51,51.61,48.6,49.58,48.85,46.3,39.79
Gold Banded Scad (Kuning) (Per Kilogram),9.49,8.94,8.21,8.26,7.92,7.25,6.98,6.96,6.77,6.57,6.57,6.11,5.71
Flowery Grouper (Per Kilogram),14.75,13.36,13.75,14.13,13.78,14.19,14.44,13.88,13.79,14.63,14.62,14.28,13.09
White Pomfret (Per Kilogram),32.61,29.21,30.15,29.06,29.68,28.69,27.66,26.29,25.02,24.7,24.76,24.28,21.85
Salmon (Per Kilogram),34.41,29.48,29.83,30.09,30.96,31.28,28.87,27.26,27.42,26.23,25.41,26.17,25.1
Sea Bass (Per Kilogram),12.22,11.68,11.7,11.93,11.99,12.19,12.45,11.97,12.35,12.29,12.46,12.15,10.67
Sea Bream (Ang Ko Li) (Per Kilogram),12.09,11.25,9.93,9.96,9.85,9.01,8.81,8.6,8.61,8.43,8.27,7.56,7.22
Golden Snapper (Per Kilogram),20,19.1,18.79,18.45,18.95,18.57,18.66,18.78,18.04,17.71,16.77,16.74,15.43
Spanish Mackerel (Batang) (Per Kilogram),13.24,13.47,12.95,12.77,12.4,12.2,11.57,11.61,11.36,11.07,10.97,10.44,10.15
