,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Prices and Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Consumer Price Index (CPI)/ Inflation Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Consumer Price Index (CPI), 2019 As Base Year, Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 24/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index
Data Series,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q ,1974 4Q ,1974 3Q ,1974 2Q ,1974 1Q ,1973 4Q ,1973 3Q ,1973 2Q ,1973 1Q ,1972 4Q ,1972 3Q ,1972 2Q ,1972 1Q ,1971 4Q ,1971 3Q ,1971 2Q ,1971 1Q ,1970 4Q ,1970 3Q ,1970 2Q ,1970 1Q ,1969 4Q ,1969 3Q ,1969 2Q ,1969 1Q ,1968 4Q ,1968 3Q ,1968 2Q ,1968 1Q ,1967 4Q ,1967 3Q ,1967 2Q ,1967 1Q ,1966 4Q ,1966 3Q ,1966 2Q ,1966 1Q ,1965 4Q ,1965 3Q ,1965 2Q ,1965 1Q ,1964 4Q ,1964 3Q ,1964 2Q ,1964 1Q ,1963 4Q ,1963 3Q ,1963 2Q ,1963 1Q ,1962 4Q ,1962 3Q ,1962 2Q ,1962 1Q ,1961 4Q ,1961 3Q ,1961 2Q ,1961 1Q 
All Items,113.093,112,110.679,109.679,107.605,105.514,103.783,102.187,101.608,100.898,100.095,99.708,99.331,100.139,100.21,99.981,100.039,99.771,99.581,99.63,99.262,99.278,99.099,98.939,98.939,99.038,98.645,98.499,98.179,98.422,98.621,98.88,99.093,99.258,99.341,99.503,99.509,99.58,99.381,98.504,97.408,98.601,97.42,96.729,95.853,94.815,93.68,92.835,91.065,90.401,88.766,87.962,86.957,85.948,85.379,85.106,84.382,85.165,86.017,85.374,84.227,82.397,81.319,80.098,78.315,77.271,78.007,77.657,77.433,77.372,77.549,77.095,76.528,76.336,76.708,76.744,76.486,76.135,75.454,75.309,75.066,75.213,74.965,74.957,74.954,74.707,74.848,75.279,75.271,75.362,74.996,74.645,74.008,74.092,73.551,73.549,73.419,73.26,73.173,73.313,73.431,73.793,74.215,73.981,73.338,72.975,72.545,72.308,72.066,71.75,71.397,71.303,71.24,70.802,70.722,70.328,69.785,69.079,68.47,68.019,67.678,67.344,66.887,66.586,66.246,65.71,65.425,65.124,64.773,64.281,63.772,62.821,62.39,61.987,61.489,60.979,60.432,59.701,59.516,59.515,59.15,58.979,58.696,58.601,58.25,58.055,57.961,57.933,58.034,58.552,58.764,59.152,58.973,58.845,58.428,58.829,58.61,58.714,57.531,57.098,56.966,57.033,56.788,56.444,56.296,56.753,56.241,55.635,53.896,51.977,51.233,50.781,50.05,49.204,48.089,46.919,45.371,45.052,45.098,44.975,44.16,44.057,43.608,43.29,42.125,42.302,41.358,41.197,41.375,42.103,42.156,42.39,42.02,42.676,42.457,41.51,40.745,40.278,37.381,35.131,32.106,30.215,28.868,28.199,27.699,27.955,27.723,27.605,27.334,27.695,27.162,27.151,26.931,27.072,27.154,26.978,26.967,26.857,26.897,27.056,26.928,27.351,27.325,27.074,26.429,26.669,26.112,26.086,25.891,26.021,25.749,25.387,25.285,25.631,25.518,25.512,25.186,25.574,25.417,24.841,24.739,25.134,24.597,24.482,24.357,24.616,24.49,24.395,24.154,24.564
  Food,114.933,113.935,111.732,110.196,107.804,105.518,104.131,103.493,102.969,102.712,102.193,102.067,101.991,101.195,100.502,100.136,99.769,99.593,98.913,98.711,98.333,98.034,97.547,97.155,96.97,96.744,96.17,95.905,95.646,95.315,94.313,93.926,93.611,93.481,92.773,92.223,91.823,91.417,90.315,89.682,89.021,88.806,88.069,87.708,87.311,87.345,86.639,85.797,85.258,84.777,83.646,83.272,82.844,82.578,82.116,81.939,81.847,81.987,81.487,80.966,79.764,78.4,76.341,74.797,73.16,73.305,72.591,72.41,72.15,71.895,71.425,71.149,71.011,71.052,70.82,70.411,69.85,69.939,69.068,68.833,68.823,68.742,68.321,68.375,68.481,68.658,68.153,68.349,68.44,68.816,67.894,67.923,68.028,68.559,67.822,67.906,67.829,67.403,66.981,67.041,67.204,67.396,67.169,67.18,66.778,66.846,66.148,66.035,65.455,64.999,64.364,64.547,64.053,64.24,63.494,63.225,62.729,61.972,60.919,60.679,60.598,60.631,60.119,60.254,60.191,59.943,59.783,59.511,59.515,58.84,58.481,58.365,58.671,58.436,58.504,58.211,57.983,57.459,57.587,57.78,57.119,57.042,56.737,56.685,56.345,56.613,56.483,56.37,56.678,57.206,57.203,57.727,57.395,57.84,57.293,58.124,58.374,59.116,57.767,57.452,57.131,57.057,57.286,56.804,56.678,58.218,57.287,55.954,53.246,51.765,50.588,49.957,49.217,48.984,47.664,46.386,44.754,44.458,45.211,45.115,43.971,44.489,43.454,43.114,41.092,41.518,39.927,39.662,40.026,41.486,41.977,42.823,42.669,44.246,43.921,42.309,41.402,42.292,39.871,36.193,31.035,28.219,25.986,25.399,24.651,25.106,24.793,24.656,24.303,24.973,24.198,24.188,23.844,24.287,24.444,24.19,24.215,24.154,24.346,24.648,24.551,25.354,25.337,24.961,24.015,24.409,23.617,23.711,23.386,23.545,23.177,22.795,22.605,23.127,22.996,23.143,22.701,23.295,23.029,22.171,22.025,22.647,21.805,21.617,21.429,21.844,21.665,21.509,21.127,21.786
  Food Excl Food Serving Services,115.628,114.913,112.919,111.364,109.02,107.047,105.64,104.663,103.964,103.915,103.044,103.418,103.512,101.62,100.564,99.955,99.574,99.907,99.237,99.038,98.539,98.668,97.981,97.496,97.423,97.53,96.581,96.327,96.269,96.288,94.373,93.9,93.899,94.621,93.831,93.193,92.685,92.525,91.18,90.48,89.841,90.049,88.768,88.387,87.871,88.346,87.211,86.191,85.764,85.768,84.075,83.602,82.892,82.505,81.449,81.067,81.189,81.764,81.042,80.423,78.782,77.215,74.598,72.621,70.807,71.318,69.899,69.629,69.303,69.285,68.584,68.104,67.989,68.095,67.615,67.241,66.077,66.382,65.019,64.605,64.732,64.595,63.973,64.141,64.311,64.929,64.281,64.787,65.164,65.993,64.655,64.934,65.355,66.372,65.035,65.263,65.244,64.467,63.656,63.948,64.379,64.868,64.707,65.044,64.758,65.05,63.818,63.816,63.067,62.776,61.916,62.579,61.826,63.019,61.939,61.631,61.043,61.027,59.687,59.271,59.46,59.775,59.264,59.675,59.713,59.543,59.332,58.946,59.234,58.223,57.862,57.908,58.823,58.444,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Bread & Cereals,113.577,111.782,109.743,107.431,105.863,103.695,103.418,102.403,102.5,102.046,101.748,102.234,102.667,101.071,100.583,99.971,99.843,99.603,99.363,98.922,98.448,97.27,97.511,96.747,97.259,96.992,96.859,96.43,96.577,96.276,95.557,95.03,95.585,95.162,94.779,94.177,94.03,93.498,93.453,92.653,92.559,92.01,91.84,91.072,91.322,90.938,90.453,89.896,89.15,88.972,88.603,88.028,88.075,87.153,86.435,85.805,86.417,86.428,86.91,86.225,83.234,76.984,74.527,72.118,71.032,70.072,69.872,69.359,69.457,69.609,69.129,68.734,68.593,68.537,68.257,68.016,67.808,67.325,66.695,66.017,65.255,64.117,64.364,63.965,63.87,64.741,66.216,66.287,66.815,67.417,67.476,66.96,67.202,67.455,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Rice,101.507,97.952,98.942,98.947,98.926,96.89,99.67,98.977,100.448,100.112,99.338,102.451,104.185,101.044,101.532,100.134,100.315,98.019,97.656,97.393,96.199,93.559,95.147,93.993,95.589,94.861,95.677,95.261,95.331,95.228,95.029,93.655,95.225,94.662,96.845,95.561,95.773,93.882,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Flour,111.183,107.004,100.015,100.669,96.12,94.764,94.283,95.918,95.16,98.339,93.959,98.28,100.185,99.028,99.767,99.714,100.172,100.35,101.017,101.99,97.672,100.074,100.772,102.672,101.651,103.604,100.814,101.122,104.261,101.189,101.136,100.577,101.392,99.857,101.53,100.796,102.692,101.517,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bread,115.247,113.352,110.59,107.987,106.287,104.378,103.532,102.3,102.086,100.623,101.059,101.307,101.368,100.314,100.13,99.893,99.629,100.349,99.958,99.778,98.887,97.053,97.226,97.505,97.215,97.366,97.199,97.016,96.744,96.077,95.358,95.06,95.021,94.592,93.284,93.133,93.134,93.209,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Noodles & Pasta,117.67,116.398,115.576,110.855,108.546,105.779,104.572,101.967,103.988,102.74,102.401,101.289,103.785,100.693,100.615,99.079,100.267,100.039,100.4,99.492,101.634,101.156,100.976,98.998,100.409,100.255,100.829,99.426,100.327,99.775,99.338,97.068,100.278,99.661,100.339,99.363,100.584,101.033,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
